id,Gender,Age,Height,Weight,BMI,Running_time,Distance,Calories
1,Male,49,184,74,20.4,78.20459101,3.064966858,990.8657974
1,Male,49,184,74,20.4,78.15770457,2.929311117,964.3822235
1,Male,49,184,74,20.4,76.67121644,2.94896443,964.0072758
1,Male,49,184,74,20.4,77.92446351,2.95926159,969.8557552
1,Male,49,184,74,20.4,77.77337357,2.927966364,967.9763274
1,Male,49,184,74,20.4,77.18336236,2.927385928,953.1811364
1,Male,49,184,74,20.4,78.3010939,2.827463833,974.7029214
1,Male,49,184,74,20.4,80.65711638,3.080259725,962.4366697
1,Male,49,184,74,20.4,76.72931725,2.884960233,950.5864599
1,Male,49,184,74,20.4,76.04691165,3.11552237,967.4270373
2,Female,56,182,70,23.2,95.33957056,4.994048618,494.4656367
2,Female,56,182,70,23.2,98.22609155,5.26845519,492.5173917
2,Female,56,182,70,23.2,97.43260581,5.601342682,490.5028661
2,Female,56,182,70,23.2,98.35181665,5.219834748,488.8351334
2,Female,56,182,70,23.2,99.92231501,5.041809726,480.4631906
2,Female,56,182,70,23.2,98.19745087,5.097845589,482.9539375
2,Female,56,182,70,23.2,96.78870891,5.282888476,517.2124344
2,Female,56,182,70,23.2,96.42180487,5.141102798,491.4914488
2,Female,56,182,70,23.2,99.69451872,4.75069081,502.1175659
2,Female,56,182,70,23.2,97.13030977,5.051261165,516.8568844
3,Male,49,170,85,27.4,91.44491866,7.272165654,952.0378539
3,Male,49,170,85,27.4,90.38994617,7.270933863,928.5340288
3,Male,49,170,85,27.4,89.0408776,7.693102231,959.0001387
3,Male,49,170,85,27.4,91.77706904,7.72153963,947.1576834
3,Male,49,170,85,27.4,87.99274121,7.825662247,949.950487
3,Male,49,170,85,27.4,91.78176498,7.659000334,944.4195086
3,Male,49,170,85,27.4,93.0066494,7.327507235,959.4038901
3,Male,49,170,85,27.4,91.12889257,8.060239764,932.103822
3,Male,49,170,85,27.4,91.40977091,7.861304328,942.9056643
3,Male,49,170,85,27.4,89.01888443,7.513412981,959.6051276
4,Male,21,181,59,24,87.84553357,14.53780999,581.3021884
4,Male,21,181,59,24,89.64371384,14.12771221,573.97453
4,Male,21,181,59,24,91.10705218,14.16878759,569.7032178
4,Male,21,181,59,24,86.25463914,14.16249641,559.4843941
4,Male,21,181,59,24,84.9825745,14.5304685,574.9363068
4,Male,21,181,59,24,86.05819088,14.29066932,556.6571754
4,Male,21,181,59,24,89.22158573,14.24591326,566.2562333
4,Male,21,181,59,24,87.04727541,14.32785836,580.1456338
4,Male,21,181,59,24,89.53569372,14.2049046,569.5973099
4,Male,21,181,59,24,86.53036961,14.0235133,572.7532536
5,Male,47,172,86,29.8,79.16878664,3.881063478,381.3156116
5,Male,47,172,86,29.8,75.69470437,4.330384593,412.856698
5,Male,47,172,86,29.8,79.20546182,3.688432495,381.6988863
5,Male,47,172,86,29.8,81.7374347,3.968856157,389.1177522
5,Male,47,172,86,29.8,78.13632901,3.883829892,383.0115167
5,Male,47,172,86,29.8,78.27152851,4.209191145,379.5527755
5,Male,47,172,86,29.8,79.64283331,3.672064926,390.1642417
5,Male,47,172,86,29.8,78.4180325,3.895648621,390.4545448
5,Male,47,172,86,29.8,78.19174677,4.07983882,394.7744131
5,Male,47,172,86,29.8,79.54041825,3.843607598,385.4505519
6,Female,54,182,58,22.8,109.070628,3.159381699,436.6121674
6,Female,54,182,58,22.8,105.546809,2.817865642,435.6786417
6,Female,54,182,58,22.8,104.8729509,3.274420518,455.2628764
6,Female,54,182,58,22.8,110.8813044,3.079012834,465.372075
6,Female,54,182,58,22.8,106.492985,3.305897328,450.350704
6,Female,54,182,58,22.8,103.6589922,3.058365638,441.248523
6,Female,54,182,58,22.8,107.2515699,3.148298444,442.6548722
6,Female,54,182,58,22.8,102.8998883,2.973670035,451.1105504
6,Female,54,182,58,22.8,106.5876449,3.026797934,447.3995483
6,Female,54,182,58,22.8,105.8111533,2.975930241,458.0207123
7,Male,40,152,73,27.1,103.7972095,3.55507055,807.1612611
7,Male,40,152,73,27.1,108.8473731,3.735770624,847.9620116
7,Male,40,152,73,27.1,101.6753139,3.655566599,847.8897997
7,Male,40,152,73,27.1,105.6104554,3.557750016,821.3301747
7,Male,40,152,73,27.1,104.1258713,3.587674628,835.8636852
7,Male,40,152,73,27.1,104.324761,3.633230557,843.1469477
7,Male,40,152,73,27.1,104.1253431,3.63533373,837.131106
7,Male,40,152,73,27.1,103.3862348,3.607324375,830.1202125
7,Male,40,152,73,27.1,107.787507,3.643236151,811.8547995
7,Male,40,152,73,27.1,104.6243092,3.445981925,838.9252483
8,Male,56,167,84,23,36.19591766,4.051309114,469.0385443
8,Male,56,167,84,23,36.74501442,4.024695561,482.1554752
8,Male,56,167,84,23,40.18598372,3.819665292,474.9277409
8,Male,56,167,84,23,35.34007913,4.087137427,451.1507631
8,Male,56,167,84,23,37.87601809,3.863532681,456.7381642
8,Male,56,167,84,23,37.02881722,4.399855357,438.2881748
8,Male,56,167,84,23,40.4082915,3.974331146,471.1520646
8,Male,56,167,84,23,36.56288095,3.954070219,453.1060229
8,Male,56,167,84,23,37.83743484,4.042990858,462.1007921
8,Male,56,167,84,23,37.20479583,3.92414156,478.5195118
9,Male,62,174,98,28,60.44429763,3.46134846,820.2392997
9,Male,62,174,98,28,63.32266638,3.429709786,845.5439896
9,Male,62,174,98,28,62.81538393,3.105408586,839.5320716
9,Male,62,174,98,28,59.66467161,3.214700292,852.3824295
9,Male,62,174,98,28,62.24481519,3.497391476,854.4603704
9,Male,62,174,98,28,62.76002554,3.456182225,827.0175312
9,Male,62,174,98,28,64.20987103,3.579896126,842.5805374
9,Male,62,174,98,28,59.57055009,3.108322742,870.0168407
9,Male,62,174,98,28,58.88432044,3.09804257,840.106169
9,Male,62,174,98,28,63.59655939,3.570824762,840.8803843
10,Female,32,191,84,25,108.9710221,8.366450174,409.2028405
10,Female,32,191,84,25,103.0147919,9.238570082,446.646692
10,Female,32,191,84,25,101.4981213,8.518779171,408.045285
10,Female,32,191,84,25,109.5016361,8.576392731,436.3541659
10,Female,32,191,84,25,106.2411204,8.706595866,426.5729696
10,Female,32,191,84,25,105.0453026,8.772663789,437.7550182
10,Female,32,191,84,25,105.7636189,8.736886425,435.1080508
10,Female,32,191,84,25,105.625435,8.797361267,432.877555
10,Female,32,191,84,25,105.6680239,8.760786069,432.7220649
10,Female,32,191,84,25,104.9854387,8.844581261,435.8647009
11,Male,60,180,97,19.2,62.29599127,9.597534148,710.1821166
11,Male,60,180,97,19.2,63.82581426,9.563715103,722.4733709
11,Male,60,180,97,19.2,62.9300455,9.837768166,729.5106868
11,Male,60,180,97,19.2,63.77689251,10.10493551,739.439608
11,Male,60,180,97,19.2,66.87271549,10.21872342,714.5819713
11,Male,60,180,97,19.2,63.17221608,9.956467804,720.9429853
11,Male,60,180,97,19.2,61.55393517,9.681239799,734.588215
11,Male,60,180,97,19.2,62.77440936,10.38742272,723.816692
11,Male,60,180,97,19.2,63.42036259,10.1469734,718.0344644
11,Male,60,180,97,19.2,65.43325841,9.804816671,714.0854329
12,Male,46,152,85,18.9,29.12722155,6.317289365,746.9205512
12,Male,46,152,85,18.9,29.37263161,6.218271436,752.8077624
12,Male,46,152,85,18.9,29.96698902,6.181084746,746.2843743
12,Male,46,152,85,18.9,28.37166221,6.30120684,744.1950561
12,Male,46,152,85,18.9,30.92375313,6.264460727,773.4471079
12,Male,46,152,85,18.9,30.63729214,5.974921159,736.9969086
12,Male,46,152,85,18.9,27.58051446,6.250628618,754.8116811
12,Male,46,152,85,18.9,30.51642364,6.196089583,747.7208363
12,Male,46,152,85,18.9,30.17092552,6.275060753,763.5902562
12,Male,46,152,85,18.9,29.75600259,6.054594646,728.7272736
13,Male,53,189,67,20,71.73280419,7.432581103,214.6180714
13,Male,53,189,67,20,68.85756039,7.890909592,216.7243259
13,Male,53,189,67,20,68.73443814,7.480576586,218.4502888
13,Male,53,189,67,20,67.51678559,7.814047988,230.0140211
13,Male,53,189,67,20,71.0195249,7.941114188,222.9378676
13,Male,53,189,67,20,69.25432329,7.606641008,216.4154788
13,Male,53,189,67,20,70.39102895,7.711348724,205.9366048
13,Male,53,189,67,20,68.61411602,7.300331062,238.2398328
13,Male,53,189,67,20,69.7296263,7.667111371,228.721418
13,Male,53,189,67,20,66.73302707,8.071230486,215.0364912
14,Male,30,195,98,18.7,89.14706334,4.111746272,961.4073545
14,Male,30,195,98,18.7,93.23034575,4.054143899,931.2988199
14,Male,30,195,98,18.7,90.84716522,3.821423604,936.3357029
14,Male,30,195,98,18.7,93.19507713,4.122396866,932.8070225
14,Male,30,195,98,18.7,93.30504841,3.988570979,940.488831
14,Male,30,195,98,18.7,95.88580989,4.122454001,941.6504332
14,Male,30,195,98,18.7,92.45353356,4.153194378,931.7649284
14,Male,30,195,98,18.7,93.29262522,4.073339443,941.0804512
